# site Sz Nup Ndn
1 0.3163905494191024 0.7606196956229506 0.127838596784746
2 -0.31639279831740447 0.12783670788691734 0.7606223045217263
3 0.31639067309157215 0.7606197261758986 0.12783837999275452
4 -0.31639224962221557 0.1278370543643482 0.7606215536087794
5 -0.09630610394141192 0.30033362356314197 0.4929458314459658
6 0.09630987679694934 0.4929496507194327 0.30032989712553393
7 -0.0963057533773685 0.3003333605270187 0.49294486728175557
8 0.09630658828860021 0.49294539080818456 0.30033221423098416
9 -0.0016555478168268178 0.37862097766263747 0.3819320732962912
10 0.0016550846091413945 0.38193074306381364 0.37862057384553083
11 -0.001654937417871211 0.3786202890978834 0.3819301639336257
12 0.001656254817224744 0.38193076835056744 0.3786182587161179
13 0.046237823423451944 0.42946493005121406 0.3369892832043104
14 -0.046239603078215424 0.3369858050323893 0.4294650111888203
15 0.04623590401280438 0.4294598335773485 0.33698802555174023
16 -0.04623732328069585 0.3369858627280871 0.429460509289479
17 -0.08308683512485233 0.31254722506707183 0.4787208953167764
18 0.08308815654685003 0.47872039685437534 0.31254408376067533
19 -0.08308544026345346 0.31254538048976116 0.4787162610166682
20 0.08308583247130094 0.47871693696224626 0.3125452720196447
21 0.08308599446137031 0.4787173794976892 0.31254539057494857
22 -0.08308545691512306 0.3125454105133018 0.4787163243435481
23 0.08308808871406698 0.4787202538886044 0.31254407646047067
24 -0.0830864954155173 0.31254729711168955 0.47872028794272403
25 -0.04623768691725981 0.33698556486781395 0.4294609387023335
26 0.046236174738418616 0.4294601344593634 0.3369877849825263
27 -0.04623977263413444 0.33698568497387416 0.429465230242143
28 0.046237894340458996 0.42946498252814563 0.3369891938472276
29 0.0016571119375942865 0.3819316326154293 0.3786174087402408
30 -0.0016559600504375163 0.3786191610630985 0.38193108116397334
31 0.0016559535568536833 0.38193148588549974 0.37861957877179225
32 -0.001656424759350548 0.3786198650236778 0.38193271454237887
33 0.09630408164547477 0.4929421600799318 0.30033399678898204
34 -0.09630334875075303 0.30033498543096954 0.49294168293247564
35 0.09630720795330244 0.492946108725245 0.3003316928186403
36 -0.0963036549474535 0.3003352174905365 0.4929425273854436
37 -0.31639016861436353 0.12783799112984806 0.760618328358575
38 0.3163885786540631 0.7606164762946969 0.12783931898657058
39 -0.3163905056728079 0.12783772766377866 0.7606187390093945
40 0.3163882374389173 0.7606161221514605 0.12783964727362596
